timestamp,open,high,low,close,volume,trade_count,vwap,symbol,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,K_9_3,D_9_3,J_9_3,higest_price,is_highest,lowest_price,is_lowest
2022-11-02 09:45:00-04:00,149.53,149.53,149.205,149.43,393433,3835,149.3552,AAPL,149.2998184,149.72498,150.1501416,0.567923434,0.15309663,43.4994032,46.30035363,37.89750235,152.17,0,144.09,0
2022-11-02 09:46:00-04:00,149.4267,149.66,149.41,149.53,218833,2075,149.534369,AAPL,149.2497664,149.64798,150.0461936,0.53220046,0.351863429,46.51535768,46.38966301,46.76674703,152.17,0,144.09,0
2022-11-02 09:47:00-04:00,149.54,150.04,149.53,150.04,215171,2062,149.857336,AAPL,149.1921807,149.69598,150.1997793,0.673096674,0.841425622,30.04634566,40.1156881,9.90766078,152.17,0,144.09,0
2022-11-02 09:48:00-04:00,150.05,150.15,149.69,149.75,231381,2144,149.885552,AAPL,149.2142546,149.654,150.0937454,0.587682763,0.609154074,28.44290981,35.85029694,13.62813556,152.17,0,144.09,0
2022-11-02 09:49:00-04:00,149.75,149.7991,149.48,149.64,161521,1567,149.631334,AAPL,149.257448,149.678,150.098552,0.561942327,0.454821284,31.27670808,34.23099326,25.36813773,152.17,0,144.09,0
2022-11-02 09:50:00-04:00,149.63,149.73,149.3705,149.4409,180762,1908,149.534372,AAPL,149.2647105,149.68018,150.0956495,0.555142993,0.212036634,52.67226457,40.62767214,76.76144942,152.17,0,144.09,0
2022-11-02 09:51:00-04:00,149.4405,149.49,149.3099,149.4823,151887,1549,149.404165,AAPL,149.2399048,149.67064,150.1013752,0.57557746,0.281373817,54.35832147,45.32679009,72.42138423,152.17,0,144.09,0
2022-11-02 09:52:00-04:00,149.4832,149.605,149.36,149.3984,158838,1615,149.481415,AAPL,149.2780872,149.54232,149.8065528,0.353388725,0.227664443,51.56123824,47.44161375,59.8004872,152.17,0,144.09,0
2022-11-02 09:53:00-04:00,149.4,149.4,149.11,149.135,244756,2097,149.25525,AAPL,149.0914086,149.41932,149.7472314,0.438914309,0.066468244,42.64935516,45.82551042,36.29704465,152.17,0,144.09,0
2022-11-02 09:54:00-04:00,149.1372,149.35,149.1372,149.2599,153786,1545,149.276076,AAPL,149.0868204,149.3433,149.5997796,0.343476516,0.337413958,38.1989638,43.26358255,28.0697263,152.17,0,144.09,0
2022-11-02 09:55:00-04:00,149.255,149.29,148.99,149.025,256687,2392,149.115264,AAPL,148.9261478,149.26012,149.5940922,0.447503593,0.147994653,32.27431548,39.58157452,17.65979741,152.17,0,144.09,0
2022-11-02 09:56:00-04:00,149.028,149.135,148.8101,148.8499,296284,2639,148.926657,AAPL,148.7559075,149.13364,149.5113725,0.506569184,0.124416782,22.3023106,33.8020221,-0.697112376,152.17,0,144.09,0
2022-11-02 09:57:00-04:00,148.845,148.86,148.73,148.745,270436,2536,148.794542,AAPL,148.6299622,149.00296,149.3759578,0.500658261,0.154207089,19.67002258,29.08057342,0.84892092,152.17,0,144.09,0
2022-11-02 09:58:00-04:00,148.74,148.81,148.68,148.7501,228121,1957,148.744334,AAPL,148.5353055,148.92598,149.3166545,0.52465597,0.274902137,14.115337,24.08455514,-5.823099299,152.17,0,144.09,0
